shelter_id,owner_email,name,email,phone,zipcode,address,address_detail,opening_hours,volunteer_info,description,url,created_at,modified_at
11,user00046@test.com,아침 애견보호센터,user00046@test.com,053-9811-5046,42061,대구광역시 수성구 석촌호수 61,10층 390호,"평일 08:30-18:30, 주말 09:00-18:00","자원봉사 상시 모집, 예약 필수",16년 전통의 아침 애견보호센터입니다. 대구에서 가장 오래된 보호소로 현재 82마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://blog.naver.com/shelter0011,2025-12-04 03:07:09,2025-12-04 03:07:09
12,user00052@test.com,서초 꿈 반려동물센터,user00052@test.com,02-1775-6272,06590,서울특별시 서초구 역삼 65,8층 559호,화-일 09:00-18:00 (월요일 휴무),주 1회 이상 참여 가능한 분 환영,서초 꿈 반려동물센터은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 147여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.shelter12.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
13,user00054@test.com,동행 반려동물센터,user00054@test.com,032-8981-6933,21556,인천광역시 남동구 백제고분 115,14층 139호,"평일 09:00-17:00, 토요일 10:00-15:00","사전 연락 후 방문, 개인/단체 모두 환영",동행 반려동물센터은 인천에서 운영하는 비영리 동물보호시설입니다. 매년 47여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.instagram.com/shelter0013,2025-12-04 03:07:09,2025-12-04 03:07:09
14,user00060@test.com,유성 나눔 반려동물센터,user00060@test.com,042-9550-9780,34126,대전광역시 유성구 서초대 150,2층 781호,연중무휴 08:00-20:00,학생 봉사활동 확인서 발급 가능,3년 전통의 유성 나눔 반려동물센터입니다. 대전에서 가장 오래된 보호소로 현재 77마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://blog.naver.com/shelter0014,2025-12-04 03:07:09,2025-12-04 03:07:09
15,user00071@test.com,햇살 애견보호센터,user00071@test.com,031-2347-7587,16827,경기도 용인시 학동 179,7층 623호,매일 09:00-19:00,"사전 연락 후 방문, 개인/단체 모두 환영",경기도에 위치한 햇살 애견보호센터입니다. 현재 29여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://blog.naver.com/shelter0015,2025-12-04 03:07:09,2025-12-04 03:07:09
16,user00073@test.com,성남 따뜻한 애견보호센터,user00073@test.com,031-6368-4652,13487,경기도 성남시 가락 138,2층 996호,"평일 08:30-18:30, 주말 09:00-18:00","주중/주말 봉사 가능, 학생 봉사활동 가능",경기도 성남의 성남 따뜻한 애견보호센터입니다. 17년간 운영하며 45여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://shelter0016.com,2025-12-04 03:07:09,2025-12-04 03:07:09
17,user00078@test.com,경기도고양 사계절 애견보호센터,user00078@test.com,031-8356-3060,10401,경기도 고양시 백제고분 125,9층 936호,월-토 09:00-18:00 (일요일 휴무),"주말 봉사 가능, 단체 봉사 환영",경기도 소재 경기도고양 사계절 애견보호센터입니다. 넓은 운동장과 쾌적한 환경에서 94여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://www.instagram.com/shelter0017,2025-12-04 03:07:09,2025-12-04 03:07:09
18,user00079@test.com,성남 소망 보호소,user00079@test.com,031-5604-9747,13487,경기도 성남시 봉은사 106,9층 218호,"평일 09:00-17:00, 토요일 10:00-15:00","주중/주말 봉사 가능, 학생 봉사활동 가능",5년 전통의 성남 소망 보호소입니다. 경기도에서 가장 오래된 보호소로 현재 85마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
19,user00081@test.com,서울강남 나눔 애견보호센터,user00081@test.com,02-6091-2072,06234,서울특별시 강남구 오금 117,2층 663호,연중무휴 08:00-20:00,"사전 연락 후 방문, 개인/단체 모두 환영",서울에 위치한 서울강남 나눔 애견보호센터입니다. 현재 143여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://shelter0019.com,2025-12-04 03:07:09,2025-12-04 03:07:09
20,user00085@test.com,서울강남 이웃 동물병원,user00085@test.com,02-5138-4241,06234,서울특별시 강남구 가락 90,8층 575호,"평일 08:30-18:30, 주말 09:00-18:00","주말 봉사 가능, 단체 봉사 환영",서울강남 이웃 동물병원은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 127여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://shelter0020.com,2025-12-04 03:07:09,2025-12-04 03:07:09
21,user00092@test.com,부산해운대 동행 보호소,user00092@test.com,051-3767-4628,48094,부산광역시 해운대구 오금 192,10층 465호,"평일 09:00-17:00, 토요일 10:00-15:00","사전 연락 후 방문, 개인/단체 모두 환영",부산 소재 부산해운대 동행 보호소입니다. 넓은 운동장과 쾌적한 환경에서 63여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
22,user00094@test.com,별빛 보호소,user00094@test.com,062-9547-1990,61937,광주광역시 서구 역삼 7,14층 796호,"평일 09:00-18:00, 주말 10:00-17:00",학생 봉사활동 확인서 발급 가능,3년 전통의 별빛 보호소입니다. 광주에서 가장 오래된 보호소로 현재 21마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://shelter0022.com,2025-12-04 03:07:09,2025-12-04 03:07:09
23,user00095@test.com,서울송파 사랑 동물쉼터,user00095@test.com,02-6394-5810,05855,서울특별시 송파구 백제고분 136,4층 766호,월-토 09:00-18:00 (일요일 휴무),"사전 연락 후 방문, 개인/단체 모두 환영",서울에 위치한 서울송파 사랑 동물쉼터입니다. 현재 77여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
24,user00097@test.com,고양 희망 애견보호센터,user00097@test.com,031-9272-1613,10401,경기도 고양시 도산대 60,11층 538호,화-일 09:00-18:00 (월요일 휴무),"사전 연락 후 방문, 개인/단체 모두 환영",경기도에 위치한 고양 희망 애견보호센터입니다. 현재 138여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.instagram.com/shelter0024,2025-12-04 03:07:09,2025-12-04 03:07:09
25,user00103@test.com,유성 이웃 애견보호센터,user00103@test.com,042-4964-1246,34126,대전광역시 유성구 강남대 43,5층 349호,화-일 09:00-18:00 (월요일 휴무),"자원봉사 상시 모집, 예약 필수",유성 이웃 애견보호센터은 대전에서 운영하는 비영리 동물보호시설입니다. 매년 92여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.instagram.com/shelter0025,2025-12-04 03:07:09,2025-12-04 03:07:09
26,user00104@test.com,아침 반려동물센터,user00104@test.com,02-3822-4296,06590,서울특별시 서초구 반포대 2,6층 119호,연중무휴 08:00-20:00,학생 봉사활동 확인서 발급 가능,서울에 위치한 아침 반려동물센터입니다. 현재 35여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.shelter26.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
27,user00116@test.com,무지개 반려동물센터,user00116@test.com,02-3782-7878,05855,서울특별시 송파구 백제고분 121,10층 700호,"평일 09:00-17:00, 토요일 10:00-15:00","주말 봉사 가능, 단체 봉사 환영",무지개 반려동물센터은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 145여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://blog.naver.com/shelter0027,2025-12-04 03:07:09,2025-12-04 03:07:09
28,user00119@test.com,광주서 아침 보호소,user00119@test.com,062-1970-9217,61937,광주광역시 서구 서초중앙 156,6층 527호,"평일 09:00-17:00, 토요일 10:00-15:00",주 1회 이상 참여 가능한 분 환영,광주 소재 광주서 아침 보호소입니다. 넓은 운동장과 쾌적한 환경에서 114여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://blog.naver.com/shelter0028,2025-12-04 03:07:09,2025-12-04 03:07:09
29,user00121@test.com,가을 반려동물센터,user00121@test.com,053-3943-5582,42061,대구광역시 수성구 학동 152,5층 691호,"평일 09:00-17:00, 토요일 10:00-15:00","정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",24년 전통의 가을 반려동물센터입니다. 대구에서 가장 오래된 보호소로 현재 63마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
30,user00126@test.com,저녁 애견보호센터,user00126@test.com,02-9043-2731,05855,서울특별시 송파구 테헤란 51,14층 416호,"평일 09:00-18:00, 주말 10:00-17:00","주중/주말 봉사 가능, 학생 봉사활동 가능",11년 전통의 저녁 애견보호센터입니다. 서울에서 가장 오래된 보호소로 현재 103마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://blog.naver.com/shelter0030,2025-12-04 03:07:09,2025-12-04 03:07:09
31,user00129@test.com,소망 반려동물센터,user00129@test.com,031-8443-9476,13487,경기도 성남시 논현 5,19층 829호,연중무휴 08:00-20:00,"주말 단체 봉사 우선, 평일 개인 봉사 가능",23년 전통의 소망 반려동물센터입니다. 경기도에서 가장 오래된 보호소로 현재 100마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
32,user00131@test.com,송파 별빛 애견보호센터,user00131@test.com,02-1447-8845,05855,서울특별시 송파구 반포대 158,19층 543호,화-일 09:00-18:00 (월요일 휴무),"자원봉사 상시 모집, 예약 필수",서울 소재 송파 별빛 애견보호센터입니다. 넓은 운동장과 쾌적한 환경에서 110여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://blog.naver.com/shelter0032,2025-12-04 03:07:09,2025-12-04 03:07:09
33,user00133@test.com,대구수성 별빛 애견보호센터,user00133@test.com,053-5800-5991,42061,대구광역시 수성구 삼성 21,7층 221호,화-일 09:00-18:00 (월요일 휴무),학생 봉사활동 확인서 발급 가능,대구에 위치한 대구수성 별빛 애견보호센터입니다. 현재 73여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.shelter33.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
34,user00135@test.com,여름 반려동물센터,user00135@test.com,042-9921-3247,34126,대전광역시 유성구 강남대 136,3층 459호,월-토 09:00-18:00 (일요일 휴무),"정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",대전 유성의 여름 반려동물센터입니다. 22년간 운영하며 38여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://www.instagram.com/shelter0034,2025-12-04 03:07:09,2025-12-04 03:07:09
35,user00138@test.com,경기도성남 평화 애견보호센터,user00138@test.com,031-9789-4134,13487,경기도 성남시 잠실 103,18층 457호,평일 10:00-17:00,"자원봉사 상시 모집, 예약 필수",21년 전통의 경기도성남 평화 애견보호센터입니다. 경기도에서 가장 오래된 보호소로 현재 63마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://www.shelter35.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
36,user00140@test.com,인천남동 기쁨 동물병원,user00140@test.com,032-6135-3559,21556,인천광역시 남동구 논현 52,9층 373호,"평일 08:30-18:30, 주말 09:00-18:00","주말 단체 봉사 우선, 평일 개인 봉사 가능",인천 소재 인천남동 기쁨 동물병원입니다. 넓은 운동장과 쾌적한 환경에서 84여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://blog.naver.com/shelter0036,2025-12-04 03:07:09,2025-12-04 03:07:09
37,user00143@test.com,수원 미소 동물쉼터,user00143@test.com,031-3595-2613,16444,경기도 수원시 학동 42,10층 182호,"평일 08:30-18:30, 주말 09:00-18:00","자원봉사 상시 모집, 예약 필수",경기도 수원의 수원 미소 동물쉼터입니다. 9년간 운영하며 63여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://shelter0037.com,2025-12-04 03:07:09,2025-12-04 03:07:09
38,user00149@test.com,사랑 동물쉼터,user00149@test.com,032-9033-1595,21556,인천광역시 남동구 언주 138,9층 261호,"평일 08:30-18:30, 주말 09:00-18:00",학생 봉사활동 확인서 발급 가능,11년 전통의 사랑 동물쉼터입니다. 인천에서 가장 오래된 보호소로 현재 110마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://shelter0038.com,2025-12-04 03:07:09,2025-12-04 03:07:09
39,user00152@test.com,우리 애견보호센터,user00152@test.com,032-1583-9384,21556,인천광역시 남동구 개포 106,15층 192호,화-일 09:00-18:00 (월요일 휴무),"주중/주말 봉사 가능, 학생 봉사활동 가능",인천에 위치한 우리 애견보호센터입니다. 현재 76여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://blog.naver.com/shelter0039,2025-12-04 03:07:09,2025-12-04 03:07:09
40,user00154@test.com,달빛 보호소,user00154@test.com,062-1350-2247,61937,광주광역시 서구 영동대 173,17층 590호,평일 10:00-17:00,"정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",광주 서의 달빛 보호소입니다. 19년간 운영하며 63여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://www.shelter40.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
41,user00157@test.com,성남 봄 보호소,user00157@test.com,031-8937-3581,13487,경기도 성남시 서초중앙 170,6층 991호,화-일 09:00-18:00 (월요일 휴무),학생 봉사활동 확인서 발급 가능,경기도에 위치한 성남 봄 보호소입니다. 현재 107여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://blog.naver.com/shelter0041,2025-12-04 03:07:09,2025-12-04 03:07:09
42,user00160@test.com,서울강동 평화 반려동물센터,user00160@test.com,02-3495-5435,05288,서울특별시 강동구 서초대 187,12층 665호,평일 10:00-17:00,"주말 봉사 가능, 단체 봉사 환영",서울 소재 서울강동 평화 반려동물센터입니다. 넓은 운동장과 쾌적한 환경에서 85여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://www.shelter42.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
43,user00164@test.com,경기도고양 아침 애견보호센터,user00164@test.com,031-4559-4363,10401,경기도 고양시 가락 154,6층 563호,"평일 08:30-18:30, 주말 09:00-18:00","주말 단체 봉사 우선, 평일 개인 봉사 가능",경기도에 위치한 경기도고양 아침 애견보호센터입니다. 현재 67여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://shelter0043.com,2025-12-04 03:07:09,2025-12-04 03:07:09
44,user00167@test.com,서울송파 꿈 동물병원,user00167@test.com,02-1400-8428,05855,서울특별시 송파구 반포대 99,3층 782호,"평일 09:00-18:00, 주말 10:00-17:00","자원봉사 상시 모집, 예약 필수",서울 소재 서울송파 꿈 동물병원입니다. 넓은 운동장과 쾌적한 환경에서 80여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://www.shelter44.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
45,user00180@test.com,동행 보호소,user00180@test.com,031-6581-8262,13487,경기도 성남시 압구정 59,7층 830호,평일 10:00-17:00,학생 봉사활동 확인서 발급 가능,경기도에 위치한 동행 보호소입니다. 현재 26여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://www.shelter45.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
46,user00183@test.com,서 은혜 보호소,user00183@test.com,062-9611-6591,61937,광주광역시 서구 석촌호수 169,17층 534호,월-토 09:00-18:00 (일요일 휴무),"주말 단체 봉사 우선, 평일 개인 봉사 가능",서 은혜 보호소은 광주에서 운영하는 비영리 동물보호시설입니다. 매년 92여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://shelter0046.com,2025-12-04 03:07:09,2025-12-04 03:07:09
47,user00188@test.com,희망 반려동물센터,user00188@test.com,042-5530-4584,34126,대전광역시 유성구 도산대 135,15층 460호,"평일 08:30-18:30, 주말 09:00-18:00",학생 봉사활동 확인서 발급 가능,대전에 위치한 희망 반려동물센터입니다. 현재 141여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://shelter0047.com,2025-12-04 03:07:09,2025-12-04 03:07:09
48,user00195@test.com,행복 반려동물센터,user00195@test.com,032-6930-8087,21990,인천광역시 연수구 선릉 146,1층 796호,"평일 09:00-18:00, 주말 10:00-17:00","정기 봉사자 모집 중, 1개월 이상 활동 가능자 우대",7년 전통의 행복 반려동물센터입니다. 인천에서 가장 오래된 보호소로 현재 53마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://blog.naver.com/shelter0048,2025-12-04 03:07:09,2025-12-04 03:07:09
49,user00199@test.com,나눔 애견보호센터,user00199@test.com,062-1061-9382,61937,광주광역시 서구 논현 151,2층 326호,연중무휴 08:00-20:00,"주중/주말 봉사 가능, 학생 봉사활동 가능",8년 전통의 나눔 애견보호센터입니다. 광주에서 가장 오래된 보호소로 현재 135마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://www.instagram.com/shelter0049,2025-12-04 03:07:09,2025-12-04 03:07:09
50,user00204@test.com,서울강남 기쁨 동물쉼터,user00204@test.com,02-8537-4174,06234,서울특별시 강남구 선릉 50,4층 975호,"평일 08:30-18:30, 주말 09:00-18:00","주말 봉사 가능, 단체 봉사 환영",서울 강남의 서울강남 기쁨 동물쉼터입니다. 15년간 운영하며 73여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://www.instagram.com/shelter0050,2025-12-04 03:07:09,2025-12-04 03:07:09
51,user00207@test.com,서울송파 사랑 보호소,user00207@test.com,02-8008-8604,05855,서울특별시 송파구 잠실 72,4층 358호,"평일 09:00-17:00, 토요일 10:00-15:00","평일 봉사 가능, 1일 체험 가능",서울 소재 서울송파 사랑 보호소입니다. 넓은 운동장과 쾌적한 환경에서 97여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,,2025-12-04 03:07:09,2025-12-04 03:07:09
52,user00208@test.com,경기도성남 사계절 동물병원,user00208@test.com,031-5033-8833,13487,경기도 성남시 선릉 197,6층 605호,"평일 09:00-18:00, 주말 10:00-17:00","자원봉사 상시 모집, 예약 필수",경기도 소재 경기도성남 사계절 동물병원입니다. 넓은 운동장과 쾌적한 환경에서 134여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://www.shelter52.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
53,user00209@test.com,인천남동 평화 동물쉼터,user00209@test.com,032-2030-9605,21556,인천광역시 남동구 가락 20,10층 188호,화-일 09:00-18:00 (월요일 휴무),"평일 봉사 가능, 1일 체험 가능",인천에 위치한 인천남동 평화 동물쉼터입니다. 현재 71여마리의 유기견들이 새 가족을 기다리고 있습니다. 깨끗한 시설과 전문 수의사의 정기 검진으로 건강한 입양을 도와드립니다.,https://shelter0053.com,2025-12-04 03:07:09,2025-12-04 03:07:09
54,user00211@test.com,유성 사랑 애견보호센터,user00211@test.com,042-5262-7921,34126,대전광역시 유성구 서초대 81,6층 425호,"평일 09:00-17:00, 토요일 10:00-15:00","자원봉사 상시 모집, 예약 필수",대전 유성의 유성 사랑 애견보호센터입니다. 4년간 운영하며 128여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://www.shelter54.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
55,user00216@test.com,해운대 겨울 반려동물센터,user00216@test.com,051-1089-9361,48094,부산광역시 해운대구 개포 37,12층 431호,"평일 09:00-17:00, 토요일 10:00-15:00","사전 예약 필수, 주말 봉사 가능",해운대 겨울 반려동물센터은 부산에서 운영하는 비영리 동물보호시설입니다. 매년 21여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.shelter55.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
56,user00217@test.com,성남 가을 동물쉼터,user00217@test.com,031-1145-4092,13487,경기도 성남시 언주 137,14층 738호,평일 10:00-17:00,"주말 단체 봉사 우선, 평일 개인 봉사 가능",경기도 소재 성남 가을 동물쉼터입니다. 넓은 운동장과 쾌적한 환경에서 40여마리의 강아지들이 생활하고 있습니다. 입양 상담 환영합니다.,https://blog.naver.com/shelter0056,2025-12-04 03:07:09,2025-12-04 03:07:09
57,user00223@test.com,남동 사랑 동물쉼터,user00223@test.com,032-8646-1950,21556,인천광역시 남동구 양재천 163,4층 654호,매일 09:00-19:00,학생 봉사활동 확인서 발급 가능,남동 사랑 동물쉼터은 인천에서 운영하는 비영리 동물보호시설입니다. 매년 38여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://shelter0057.com,2025-12-04 03:07:09,2025-12-04 03:07:09
58,user00227@test.com,대전유성 희망 동물병원,user00227@test.com,042-6667-1199,34126,대전광역시 유성구 서초대 97,19층 467호,매일 09:00-19:00,"평일 봉사 가능, 1일 체험 가능",24년 전통의 대전유성 희망 동물병원입니다. 대전에서 가장 오래된 보호소로 현재 57마리의 유기견을 보호 중입니다. 자원봉사 및 후원 환영합니다.,https://blog.naver.com/shelter0058,2025-12-04 03:07:09,2025-12-04 03:07:09
59,user00239@test.com,기쁨 동물병원,user00239@test.com,02-1751-2872,06234,서울특별시 강남구 양재천 143,17층 989호,"평일 08:30-18:30, 주말 09:00-18:00",주 1회 이상 참여 가능한 분 환영,기쁨 동물병원은 서울에서 운영하는 비영리 동물보호시설입니다. 매년 55여마리의 유기동물을 구조하고 입양을 진행하고 있습니다.,https://www.shelter59.co.kr,2025-12-04 03:07:09,2025-12-04 03:07:09
60,user00242@test.com,소망 보호소,user00242@test.com,02-4817-6006,06234,서울특별시 강남구 서초대 63,5층 887호,화-일 09:00-18:00 (월요일 휴무),학생 봉사활동 확인서 발급 가능,서울 강남의 소망 보호소입니다. 25년간 운영하며 21여마리의 유기동물을 보호하고 있습니다. 봉사자 여러분의 많은 관심과 참여 부탁드립니다.,https://shelter0060.com,2025-12-04 03:07:09,2025-12-04 03:07:09
